"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
a52c20a18a84c46a69b4ee74113b7b8c2310a0c47ac62c64c56270d3e4d7f2df,Емилија,Положил,male,0.96
24d1910aa25ce3276bea82aee6d3d6fb0ba9a55df85ee68a905946326c94ecfb,Елита дривинг,Положил,female,0.97
603f939b51f7ae9e1e1079c87027fc66c547c01feb46d2c1734c458c1287efd6,АСХ Хирда,Положил,,0.0
77acd822a7028d19a9a734780d6824ca3988b33ae7e36723d93e1cd4ff6de94c,Струга-ком,Положил,,0.0
5530b80555e0f6ab29b851294210080ac70d77c434c320b8b9b40aefb22f7161,Софи-Скул,Не се појавил,male,1.0
171edbf8426c8ad6244f3044c430442cd28e6f31cb77d5738b17326ac2c1d00d,Деива Обука 2001,Положил,male,1.0
b78057ef39ac0a32f5d909a79ba51a5d3bbf73147e7e901f46edf0a0afc4e5df,Деива Обука 2001,Положил,female,0.98
3e25f1048a14a785d9971750985ccd41326d8aae5f0bafc68645768cd50b31fb,Панда-ЛТД,Не се појавил,female,0.98
d98970e40ca2d0e7f128d5aa0f3cbb54b6b81e924e012211287a8965248ece9d,Шкорпион,Положил,male,0.94
3efbeb50ed7a39580606fbbcd9af400137f08278c71fc48f91d99aa6a2718a0b,Идол,Положил,male,0.98
96ae8a131b4e3c4e88b8580d9ad5cd38b5faceb93a4181597ca1bb13ff2a63b1,АСХ Хирда,Положил,female,0.98
4f7b3097c71e93036b75f1b799102dbe9c5c36eb08d4b0a1cb313611884e1bb6,Тримоски,Не положил,female,0.98
1e1fedf0192f73a054025f0dd4bb4a69fe74ff368771bb97eb1dc0033578725d,Кекец-О,Положил,female,0.5
85a93ebfdd761fe2d682d0018f6c74f618b396f37ad811d92c4c11b9274d015e,Шкорпион,Не положил,,0.0
bb04ab704f766b267386e73dbf99cd5b163ce57fe9419f0cefe6b3cb7aea4390,АСХ Хирда,Положил,female,1.0
ced8fe10ba71168c9839b202b40fd22c2529bc1c98c04410bf48fa47540ce1bf,Панда-ЛТД,Положил,,0.0
9670fbb7e8f07ff2ef6c144c61253f15740429084be05640d2b481f7398d8c96,/,Положил,male,0.99
554b69d02bc1e525915ba040b44b68ed99d8e6f4c8b00c7c13cdd5ee713c8fe9,Зелен Сигнал,Не положил,male,0.97
63d2a36f99a9e2f885cc6617e62bf217f588515a0d3c72df8402d4d9fb536546,Нова-Нова,Положил,female,0.99
accc392aa14a63030435003c5d1147e5e5f5f8287701e91e039ba8ca93fc0960,Сигурност ГТБ,Положил,,0.0
7c9b38b68481b65d377b5e3c2cd9f2d465575975d23e1843acea40b89b6335ef,СМАРТ,Не положил,,0.0
61783db42c2c0bd9b79eb2d402c431ae023c49b6d9ad35036a7823400dd7613f,СМАРТ,Положил,,0.0
62dfe42414c572446306bbefca049b92d2db8780be5bd3e3f5fe072458552ce9,Мартин,Не положил,,0.0
beec092976dc7116ba1f382bd1b9cbecfa6147115e12463280ef13792e5ecadd,Зелен Сигнал,Не положил,,0.0
1415ef8e06692d21ec55525507d9939f90f6fc7f7488c2db336724fa01583c33,Шкорпион,Положил,male,0.99
58ac29e2b70ebaa80f8a71996bc57c6a59ffeae9a28a5c1755fd63263682d673,Шкорпион,Положил,,0.0
46c0361cbc2af5e96fd76347f97c149a47f674dc8c863e850b02a692e23ed8a9,АВТОМАК Гоце,Положил,female,0.98
96a077cdf45cc96892479bdccd2a1fa230de1ac422fefd062b2c0d693a42c981,Мартин,Не положил,male,0.9
9ecf9b0d62ea98dc69af15f2949d18aae2532e56bc9dcce147506f03fc08c464,Деива Обука 2001,Положил,female,0.98
e0bf9193773d1b6276114cb2694357d1f36a214286e99a355ea737af58a30234,Нико- феникс,Положил,female,0.98
eb882f5cc0059a85f544203c3fa37782b6d537a380412631d7220fad1698a0c4,Арт,Положил,,0.0
f6a74482541e3285552d9c31856357f0c2ae7a82260080d641582fab267873e6,АР-ДИ,Положил,female,0.98
14c54c8075ffcd7f43903ea0996b1baa0d5ef47063f5017a5d948d2521c1b666,Емилија,Положил,male,0.51
8840edc8d6381b73cf141efec67f84d38eca413ab6cf661526273879c585bfb9,Нова-Нова,Не положил,,0.0
42d7350ffc1e75bec8c8693fe804959cbf955bbe6ddb9815dc6a7c215342fc2c,Елита дривинг,Не положил,,0.0
324fc945d7fa70a516cfae10a015f031a3f85a38c5b58eaeb3273f537a4c8a51,АСХ Хирда,Положил,,0.0
f643b98785f4b7d56800650403841e19bc24b36f4ae772d8fb4c88c4eb3a3063,Ива Обука,Положил,male,0.96
b8ff12e8534ef915becaad5180afa2b3faf1937fcd63cc49e53651bc24ebf024,Ел Хилал - Јуниор,Положил,male,0.85
6cdd53fe40900c280946aac229cbf77f8470690536a002a9acf6c5c5ac3bfe8c,Струга-ком,Не положил,male,0.85
acf1e360551ddb6293a0a8bf0ae767c7965fecc6a1c76e9388ad905bc472214a,Мартин,Положил,male,1.0
