"Име, име на родител и презиме",Автошкола,Резултат
0028eb1011cb49450ef1bbe2aefb5dcd3c6b723fedc82eecfb3171ae5e6ae475,ЊУ ФОКС,Положил
f6cade7a79e8e25e6afb7a0bdcf0e45f34399b5a74d995d2e7c0d46d020a4415,Арт,Положил
6f0ac752bd14e8edb1c61b201ae16f01e79f9802eef6e1fcae72744601627fc0,Ива Обука,Положил
b780c9a3153972881096885ee658f337c4d54c590b6b30fa9a77db54c9025caa,Арт,Не положил
8ca633b5b61f0c54e55346d6810bb7bc61f58b7c48b343b2fa539d1464e03c6b,Ада Скул,Положил
c6d7a8afa988b410bf763535fdc9e4fa20091c4c613d7cd2921322ea3c1546fa,Мартин,Не положил
b63b0ed38326c18bc3cd1f729eac99dece96f03c571b4d2c19d2314b7df17604,Сигурност ЛНБ,Не положил
d6d2750cac4ba3d3d309e2636a28a7061e0ab5ef98da249176e312fe2d9a815a,АР-ДИ,Не положил
a3820c6225ebbd802062501b00d1915db3202f28d64da5cb0c491378cf9711c7,Беко Бс Дооел,Положил
d014a689f2f38472dafbc31b58643c8454281365571a44781fa94eff5390854c,Зелен Сигнал,Положил
c76a5a1110962dd7dba551e73ad0a53a9605c9dfd5f3ac2e8c868416236b6fa8,Зелен Сигнал,Положил
3fd244ce01c85c57e61081ab066539fcd3757becb952868048e46938ab3090cf,Зелен Сигнал,Положил
0733ae79d895d8d8e12dd80fb4d6626a21f3b1cb2ac38543fd167c4aa800c52c,Алфа 2018,Положил
8ccf121115eb6502aa7a13c4b7f64a10f1faaea8eb5fca079a7bb300d13e888f,Деива Обука 2001,Положил
0e2e858b99860ecdb616804b997a2b00368053d521167e49be8c3024a393a5ab,Деива Обука 2001,Положил
3925d4d2aaee5eb3a68b5d688f7d93695eb176cb444351ddb197ac7d5b926429,Кекец-О,Не положил
375c33e94107b533e66428178e888723e684b33c738cf63ef02cafc73c3bd818,Ива Обука,Положил
133c1750891aa1bd883b80e22d7af08d2af9f98bd091c4fd2f17b3c5b3255f90,АСХ Хирда,Положил
857425d2e49ba2e4758bc22108fa22d89c344e4bf633f3e4a198a655908ac938,Зебра АБЦ Дооел,Положил
e3110311e0d53a7451217cd3274d71a6415cc2bd80c437783763851973f49f16,Мартин,Положил
1f5e21d40feb61d4908e90dbae909b7e7d70fd7df456eb1cbe242595db8068b9,Ива Обука,Положил
8430e30ba9d7a5626e9b3d3ce55ecdb7608dec9d4c3cd504c4bb2dc6af1292dd,Емилија,Положил
05f365d8d91472dc5e3d8e921eeeb0c70b089638e5474e33f9e624b3e3db0369,Брм брм Л,Не положил
e7e3077477cd94509d09eef668f7a5be7e9bd3643d8ce11da3befbc0828800b5,АСХ Хирда,Положил
dd54e86d197398de4005f32726bd459659f0de3d69e8e9bb6fd60cbc59ed5ca2,Кекец-О,Не положил
baec87993ae5e953863d789ef7506f971702dc5567524de974f97ee755e66ecc,Идол,Не положил
903d36272936a830817f4836afceb8ce00adc258d46587002349131edbbfd750,Болана ком,Положил
006e21ba47b961310fea8849ca88111d26b258aede6f9f8bf925f2c78b80d326,Кекец-О,Положил
2b874b21b4133f94adafc82f8217684c46875273617ade10305699258da1bdd3,АР-ДИ,Положил
c088c508b82881545a0e54ed7dbccb9fd10e89d01a3a669caf7dd33cca982e0f,Софи-Скул,Положил
7b9bc8143cd8e7657ec41c2223fa06499dd71a776747c2c7a3f7f6b236fc46a4,Банкина,Положил
e6b163322f445b5db176ddad8bf4c4b26ba5ca3f12494f221f015c7d0e124865,Шкорпион,Положил
d9632ebf46cdc50016134d809bae7aedc6c54ef1214c0acf10118b131a27f7f1,Алфа 2018,Не положил
fe47afddddd09f1b8f59d775b689b65a8191d61e2b7b9b825e38dbc71296786b,АР-ДИ,Положил
ae324ed2e622f1a293ec60339e201ea9d0b16398f9562ec444d1fa59cb0a0738,Шкорпион Обука,Не положил
8d04cef751bcfc314519e1fb4fad609406d9521931a89c11ed0ed1fb5752bdca,Софи-Скул,Не положил
264dcfc6071e065d000eddbdb9c3748cbf0b32fa88ab607ade74de6545ce8a51,Алфа 2018,Положил
abb553215b27bbfbeb288dbad651f2a77b37eec299cb0cc4320a7f21ac1e3c0d,Арт,Не положил
3497f7f22edac7702437cdea5d880913a6f94d7ab6ec24fe6cc3d9fec86b2a5a,Идол,Положил
541fb5ff71561d1d0457de0516eedac67b4a3e6407c5381bdbf11e768564b842,Болана ком,Не положил
7e02975016901d783718e7affb7e47194c24cccbef008628a9d124911bcb4ef5,Беко Бс Дооел,Не положил
58d758fca5326d14e1bf6ca951e40cf0208114fd4c68834f3381446463023381,Беко Бс Дооел,Положил
db98e16e87c4d13bc3d23340b9effe5d814194d3e94414f262915ba96697e1ca,Беко Бс Дооел,Не положил
68023a6e94ccb43dc57a2c7dc2bc78023f59e557bfea05a073f77cb862a4fbe8,Европски Возач ДООЕЛ Скопје,Положил
dd3878becdf2b9a8df0b23896c0cf8252fcff9d6fa380b79182e0aacac30a1a9,Болана ком,Положил
50b09da7c60b4a645f3b53a1544d0b5547cd94c2ce273cbcf78e0c1b565adcbd,Ас-Коко,Не положил
8c35d65196050202f7da27d18f7f9d27c5b5b352f43ae5db934d0ae192ec5e5e,Идол,Положил
22e557673600d3bf7ac997acb598e1dbd83cf409e965ac93bb431405dd78fc9d,Мартин,Не положил
7c2c519e81917169e77cd7a3f3f2fbc9b7c04a13c921b10a565986e27f389f51,Ас-Коко,Положил
096469ead88e2b377af8aad819d052b31378f8dcd34860848ba0162cd3dcf1b0,Бобием,Положил
2cd4669316e694d7b7dd84d79007539d87d1f68330752697b3819df313793499,Ива Обука,Не положил
6330c84c836f8ec1bff1dbfd62752cf9a927b462c3ad90acf711819d753f7c77,Мобилити Плус,Не положил
8d4f109b3fd56676ae47d8474c53776fd854d134dc1dc1b6cfdaaf82b114f79d,АСХ Хирда,Не положил
bb09eb6bb7587786ddedffc3eb90e3296476a748b3d2265b54a9b9e572e1523d,Беко Бс Дооел,Положил
9c82c15f18a29b476d51d9aec17c1cc76af5f7352d20cfce44465f54ced1b520,Беко Бс Дооел,Не положил
a9ad68f97de133af3129382f424b57e140186162434491cfe66285ce801fdab7,Ас-Коко,Положил
5e902f25bd8d551b66357e17a2ec9e997f254c3c753252b2aef30515b62deecc,Кекец-О,Не положил
fcaf0a49e1660796d1850f5d45fb61e97aa4f05292455db0a3d7d81626b8f5d3,Алфа 2018,Положил
bd2d5e268861bbf47453442fab5d001ed3b8e84d0e2bb1b8f59fdbc0165aa3b4,Мобилити Плус,Положил
451a4a476191f571a436919545f2ec85c7b23ea39092a052d2db644a16cad3a7,Болана ком,Положил
4fd135aecc1a595b483c46742dc06c6ea1ec8e1885f83b926308500e0f65e778,Ас-Коко,Положил
7f223ef21fb33011c2d1cc51ca7a6dbd487426c7667b20d18b6775421cd8bda2,АР-ДИ,Положил
6a975b325a236867dd336512a17d1df7064f0f7f58b15d353cbb389d5a2571e8,Арт,Не положил
f7ad72130b068426fb6fb759ee6611b09f4c8e25574e9aec6c5cc6274689291d,Банкина,Положил
d7c250f86e19f86309aeb7a4b59022a00b3b43cb8c28ac93b68970c848f90af2,Шкорпион С 2014,Не положил
6df616a29a6d37233292cdaee3bbeeeef655a7a73caa04186ce1de7616c85537,Брм брм Л,Не положил
fd1e2fe06e0769e56ad95b680e8da39fe72625368c374da8b58eb88287e94f2b,Деива Обука 2001,Не положил
369168d35eb47c4f7e51837247b1061c10b18b121e1c09f42413da5e34ea9bc5,АСУЦ Боро Петрушевски,Положил
d8605e368e179f60e4aeed46db98e2b55496c8de62e186530981a386664fc69d,Ива Обука,Положил
e8348c9661fcf95b83c1f43a3b09862a1c63ca4a28af6493f1611fedd1e6e77c,Драјв Скул,Положил
86a829b253f7535b8fb10990a592613f04492b349aee0587a861671fb0870d00,Мартин,Не положил
043d2d0816741caa636cabb55a4002453e7cc1b77c35d459bfe6f3c6767fdc6d,АР-ДИ,Положил
10ed85ef29f0fb9225104e91a473fa3282e738ccae77bf145a2eba752c8eb86e,ЊУ ФОКС,Положил
16c8082a302f78591d695f0202e727484827f6d4ee21970543690699cf4eb3de,Арт,Не положил
084427ba2cd9d37cffb6c2d7918e83ad6141c448b2c012d81df75153d6aa43bd,Деива Обука 2001,Не положил
0f5a9b7854f04db58ee868724f049f55ec58c25fd8d4fe1277c4a3ed679a8217,Алфа 2018,Положил
b1a5228359e68806c727b4ea49a2f0ad5f7e66de49fc3615113f13e7027abc10,Зелен Сигнал,Не положил
65e58c3bdb54fc5e6226f2e47135478def556ee9931b81359019c34caf294548,Елита дривинг,Не положил
9f6ff79f1c766380c65ac5c28683549484c648497c48e825c1f276498faf1246,Болана ком,Не положил
10d9a06ae4760e44b0c5b65ac158d93bde672fcdb35f0f17194d8c7cc77273f1,Ива Обука,Положил
17aa7e19043760a0acef32acdd029794188124dc5f8ea75f038644f1a15cc899,АСУЦ Боро Петрушевски,Не положил
20ce223e26a232481bd1b0f9b6684ef77bca87d347fa071b3f23f5d5352f36d1,Шкорпион С 2014,Положил
4d64c4b44c4fb1d78e939d82e9ee3d994c780e5f715255a9a23966107400e9e1,Алфа 2018,Положил
03bb7466cccbe97fa75b7bf52701fb6addb1065aab37d9f0daef05a7682bfe05,Кекец-О,Положил
3ab5af395982f2d0d9de952115630707a02bab9764432a473d5e4d6730ffad4f,Софи-Скул,Не положил
3c53b612a926b766bd67ca3a55ab72e428019e2c61d2bb6e519893134116c80e,ЊУ ФОКС,Не положил
490c410534476a3ea0207eb8e4c971263a3791e0b510110243a6f52adff54301,Шкорпион Обука,Положил
f25d549a080729018d559b4d4783489b07ca9cdd832836e549a26056bfcda269,Идол,Не положил
59518d9cf0e2a775ded45e999a0a78fecc8c92d4b8301a99165b096f6f57103c,Максигнал,Положил
49b266581a80031553c31a689abde328495b298c9a9c596f7a78e7df44a4f839,Ива Обука,Положил
ab9bf2674e9aeb44aed322f089e276bcbd3129508140bc48b2ab73d3892d737a,Сигурност ЛНБ,Положил
