"Име, име на родител и презиме",Автошкола,Резултат
3a41e2c9690337c026e76526f7fb2ef6b27d2de67ab9c20bd6fed50d40a0b390,Панда-ЛТД,/
bb7db234367dce64730b7eab6e37e9fa0a424bee0ca2776dcdf91c27f6702dd0,Алфа 2018,/
6c3c6cf4fe05d290217dbc596112bcd6de9ba3ad8785b8aa147c75b816dac9a5,АСХ Хирда,/
cfd6c0868f751b1ee30c19fea6e52265c9b48ebac8b4dd31c7c743d342d83a99,Зелен Сигнал,/
16945c687ad9cc2b8909af26538c1f3c0e0bed89e5222de53aafd2b6f731a3f9,Шкорпион Обука,/
35f989e689e62ab51616c7d316d69644509c2869eca6760f8bc71106c119562d,Емилија,/
03f2ada469d8c07c0e6e008a881f1047e07021dda308c39cdfe1c3ab4264e69c,АСХ Хирда,/
bd847cfe14cbc067af7391916ef49e08047fdceb8928ba366bcc174492c791dd,Идол,/
b8ff820e6b345757d8d0f3b95046bedfabc8908e0f52031389c54c8bd7fc91a2,Мартин,/
1c9db921567b8f820ac0c32180f090818707a43066c9d9de48d5736b2ab9d449,Идол,Не положил
11574299faae2e39318326b0dbaa0c2c5a449bc6b840c3f02355a1258d10feca,Шкорпион,/
c8fc2a5f2d1a35596a3938f4ee207d2c0ea6588d3a1df810cc39a17f39c841bc,Бене Трејд 53,/
cd6449ccf5ce656a265a1486de1376d46ed6fd2d8b8ae5554770aa8344f0dab0,Алфа 2018,/
2cc174b3236d6f7cbbfeea89c832bb073f163c17e3d2cc4282c384db40624251,Болана ком,/
d0a5b0c4c575385b61f1a546aa2238ea396a71f144290a12914cc3a346320bb8,Ас-Коко,Не положил
84484325f1c5365b0fa924304554f2efeb66df5462a46817a30c149b56c4c999,Алфа 2018,/
eef2ab9598693761a648337fe2d1bf684fdf589854c773b6701ab19e81e4fd41,АР-ДИ,/
bd192ed513c028712c14dfdba4324fbeb580310d24689573279a4f46a1aa4478,СМАРТ,/
262aa73bab2895e1c73c32ce99397385e8091abaa0ad0f952ceed14983b9a150,АСХ Хирда,/
