"Име, име на родител и презиме",Автошкола,Резултат
653caf143e6af5ec33b6c3bc3544b24edd9a09543d305d645bce861178b6d195,Зелен Сигнал,Не положил
3a250a7d73b1da61746988deeaddfce18dbf501dac6b3ec5e0e2617c6899d277,АСХ Хирда,Положил
72da5684fbdc3341d2ca462d9ef98ec00b660a71b75446ee9a8ab1dc97f4d1dc,ЊУ ФОКС,Не положил
0feede02d0a66a81d281297edafd0c704198549c8ffd592a0baf2282a7fb743c,Ива Обука,Положил
25a36f550eff46f4d14bf4019cef5ca60afeee4602b8181bc6b448fc5a9492a3,Емилија,Положил
c30f6679cb5fe06abf1da0ee1ccd8030d1617c75f049862dbdbaeffea63eb1fc,Ива Обука,Положил
0e33e5278c7b4ab530ddb6b81d857e44a7046a962178a78fece38f7b79b4f340,АСХ Хирда,Положил
ec406c48a2da176fc56da386f154493b7a3f163ed254c7a8ed7fe3b5826cef48,Емилија,Не положил
acf2be1e3d68e21fee1e6239c7478cc6a6e6bd942f2122dfe1f6c3f490ff8ab1,Ас-Коко,Положил
011ef6a2cf92821c4b9a4a4583f6f3208166517c42874092d81de4ad30868e8e,Мобилити Плус,Не положил
c6073e87dc18af824e38c63fac26458df80234e924703469fabfe3eee7452178,АВТОМАК Гоце,Не положил
c72ef51cc6cc109e82c9e74261cfd0afd1bd7b9ec4fb715f75a7f4a6593e95e3,Брм брм Л,Не положил
a14468bac71d76359820894d2c93080f830f6be1071cbff1fb9819239ac6ca84,АВТОМАК Гоце,Не положил
12831217bce6b41ab77c63f884d4fc4eefcb8fcdd615cd51358c88e32759082c,АСХ Хирда,Положил
36b00b6a59a92bdd093ce441e72da740481f7bc710e7c357d8fd7135e94a74f4,Ива Обука,Не положил
43a07e28abdb2d642ce40339f3efcab9efde25095770c0c75e3b5013bc2ba985,АР-ДИ,Положил
fdb87d03573e12524fd611b7dc4a5af8614cf1a128f04e0c79ba320ac256d8fd,Шкорпион Обука,Положил
ed188a9ce986046391976a35db79c1e6c4a78d55d47e887023af0de2c46d975f,АР-ДИ,Положил
834bb2786aeb20925d172c4ec84599069aae8fcec5e1ba108dab790081f0e7a6,АСХ Хирда,Положил
2d4ccbd05cc4dd973e17a65ea7d414f5581ed87b1d015163185e841b3b93e695,Мобилити плус,Не положил
16890e8e444d14408de41ea8845f7720ea9a44aabbbeaa081d66addfe5cf1a99,Зелен Сигнал,Положил
e9b23df38044eb4a58dea77e21020ab9edb23d6f515cc4d2dfada3b64298dc8e,БУЛЕВАРД 2024,Положил
1811ec3821c1ee0c94df8987e07fc361924d2b456d2fb54b24918cf0377e0316,Ива Обука,Положил
d043d0c81659915ed5ec6879cad5040ad9c52f5942fabaab46602a948b25b265,Кекец-О,Положил
01985216e23ee4eb4cb40cfb90f82716ab1159af69b7bcd74e30d9dff5da1cd2,АСУЦ Боро Петрушевски,Положил
94d233337453655b6c82967321a3b27b843dfe18f9660421c26b1010a757182b,АР-ДИ,Не положил
621a3222bd8a6ae27dc6fe15a35987cb75f6158f551043cc51ec6a012979494d,Идол,Не положил
bdacdc6a44b02241e0580d4d0391fcc0eeeb5299cf9414599eb21ccbeff3f271,Зелен Сигнал,Положил
bab18d700cf9b0107c3f27e44f5ed4e2e70c1d50fc77f729cb250529f2464481,Шкорпион Обука,Положил
15f4c1333ecd5fba8a224f3ae02b88bfeb93f22cb5829c509092d93fda9ae9de,Беко Бс Дооел,Не положил
b2e1afe665e66a03849e29c32363a18d5b9c10cd76f203f19109d9df10ac2be1,АР-ДИ,Не положил
c8b87f2170379b7c8c7cf144ce423ceaf1c73d9f5f4dd36e492c58d15b8f7923,Арт,Не положил
d62dbb2e5df4f805a6bedf339e5b15fb10ece958d73e2b815377569b5e7d8742,АСХ Хирда,Положил
a6b64c1bce94df64574f8ab4f13b9f83079e9708785562183ff647cecc15d189,ЊУ ФОКС,Не положил
bb5f4d7c5bdfcef3aa60a88f65a85b14f6b1d12b602b48e4dbfbcc0170073a46,СМАРТ,Положил
030d5dda3d96c1ea7d16d1689a1d24c928edcd91f7abd5bd043b51f774f529e7,Деива Обука 2001,Положил
b9c11d7967580307eb4b3560dd52f69ce20c320f31eff984b683ee323ad607d2,Брм брм Л,Положил
ced4c9c2c35e351782ea6e430fac2956f85a4c15cbacbb8021e5f36dcc190ca1,АСХ Хирда,Положил
b45e7b5ab47adf7e1384871e2272feb14540295c6f0bf20a54c0471f292390e6,Кекец-О,Не положил
5e56efe551a160d13cc7c5f5dbf52e465af77ae6c31cb39608c520103045e6fb,Европски Возач ДООЕЛ Скопје,Положил
9302864ca4c3a1ea4b2b6cfb44b17fee6ad2efd3eb4d4041f35a6532c959d85b,Болана ком,Не положил
cd3a9236339b47953aa8873b04e5971ee5e0f74d167c2a911dc6c65642ed7298,Брм брм Л,Положил
c9bb9b8d5c3c184050187b23db90a7e641ba5fb82a1a6d767adcfb3003e4f7c5,Идол,Положил
bf675c388b4795c4b6a15306f00b58ab1d131526ec5a5a534b46b5f6c5979e6c,Арди Јуниор,Не положил
e7c005c5e55b1217fcb7dadb93918c2ff4127c9d9744aff1b4658983a2a7f998,АСУЦ Боро Петрушевски,Положил
6e9f637347a08d13315e3699e15b958863eedfa1795ffdab724767d7071c7399,АСХ Хирда,Положил
535b942b0c14aeb77f5161652e35338f954b5f7b09caa03098c8ca84364b4978,Кекец-О,Положил
aa1d289fc781eeb0ecb57f73d3ff010da327ce061361e514f52a891c1b833736,Зелен Сигнал,Не положил
7b0fb4bba413b09a7b057e3bb04bd461c88d8d786b67464bdec57fb386d1a9d7,Кекец-О,Не положил
50a4914118fc4606a84f0f941ea4e72aa4bc12408db9e3a08ce256a06af3af40,АВТОМАК Гоце,Положил
dfdf790b77e534047973384bbbc4121e4efe1871f58638c8440674a0fd4cbcf3,Ел Хилал - Јуниор,Не положил
5295626b01df133d206f1df5877f3fb402c9a1d1c2b4ecc8ce9a99bc09a39ec1,Тримоски,Не положил
ab045baeba879a708ee28ee48eb73c5ceb04ee4e681295e458cafb46029023c3,Кекец-О,Не положил
0f1280e9560b77aeec9101ff566558cf35dd8ad0715d526366601fa4f04c56d0,Идол,Положил
a991a8b6a4f050450ff5b70836999bee08bcc91ed03a200da84ab0c7b0ed28a1,СМАРТ,Положил
c38ce4d4b50f3806955132fc82549e3b54295b21572081c13240718d48834ff9,Шкорпион,Положил
c60ef96b741aa132f7aee4bfd426c664420af9e86e4ea53e173fb5e78e55c9ee,АСХ Хирда,Положил
