"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
e0aad8eb1076354ebd8d825bd433d50297d2af31cda3f7d1ebd9fb49f0c00a5f,АСХ Хирда,Положил,,0.0
22bd8b76a2d58d43efb6d25ff640f9ed2d963f6aa392e688abc7bd8903d23672,Елита дривинг,Положил,female,0.97
75cecac6be53073cdecbe49b6c2d9ba82a76d00f54c922ae4c43a7f8e5b2ad25,АР-ДИ,Положил,female,1.0
57c8f817aad2d3d715f3635788733d986735c2ca89b6125a43848bd6b046f039,АР-ДИ,/,,0.0
9a0b8d419d8ff7761ea2df29c6ce2ea4d22b53c1ae06ce93a1a36c7ab905b562,Зебра АБЦ Дооел,/,,0.0
32c948a5a1bbd3cdc0f66204189226d2ef783f3b9301834eec3b22fd2c0a0ccf,Драјв Скул,Положил,male,0.93
c9e095ea8bc1328153664e9a61490424a2c14ae318c0cc24845b35dbff1cfc3a,Бобием,/,male,1.0
d72c8797f7c8c80637c95a8acd7f88298ebf525a92b674b701d04fcf81105480,Драјв Скул,/,female,0.99
f304f1515e301135d4c562b4195c17e69d31201fadf45787194839a97819bec4,Струга-ком,Положил,female,0.99
f45987f65a3e8f3f8f6e893ae017880a245ed54250bb3b28b219407d60149825,Ива Обука,Не положил,male,0.69
0615c0d2d6f2985f413b38d6abd53935fe309df6cb84f5cf74f708f40606e7af,СМАРТ,Положил,female,1.0
600e347ecbebd5a62c4f7ab4f5f9c5f1e7806267ae443d2dce72fcb0e05aad91,Мартин,Положил,female,1.0
af23d0d4604a2694e7f21488c202c4c4fcef1821e68c26ef6bdca0026528cb86,Ива Обука,Положил,female,1.0
d3799ced5f2bb137bd5184f5e375e911f6d40a22bf67b8e887ff1374b0f74fee,Болана ком,/,,0.0
55300b58110dd9fffb58a4ac5ae8b0940632e039c4decc2675709a4aa7837c69,Бобием,/,,0.0
99340f94e6365f94db7fbfe259c4929532cf09855359eb138abed3c9a4b8e60c,Деива Обука 2001,Положил,male,0.99
5692b3b4e1868a1e9060debf4bf4064cb0a4cc3ca2ed4ef09240c0917d8549f9,Арт,Положил,,0.0
c34a640f81295dab05ca44007d64c5da203e71df6d75db8022665cc3d7259064,АР-ДИ,Положил,female,0.91
563b014deea93dd197b0895012a2ed3f3a8706713afa0baae40d58b5593a0e8a,Елита дривинг,/,male,0.97
da11078641a84de6e44fdcc6903056880b1f5b1fdd3ef0b254beabecf1958420,Кекец-О,/,,0.0
5bac344f79ede4edd5b115daa57f173098f6f46571f66a584a5a7931d6899793,Нова-Нова,/,,0.0
983d0aa6481f7a622f48951ef1c112ee38c036df3dbf27fb560a758a8c989b80,АВТОМАК Гоце,/,,0.0
920a4808f3baa4ec6059f76873f076f26c5e5c4545edcdb70737bb579216bcd8,Ива Обука,/,,0.0
6448bb916fa999a35bb7826e730f9d3cc05ffec1cd3cc31a1c5f792cb9423473,М22 М22 Дооел,Положил,female,0.98
fe511baba561af13cf8d136262c34f23da4c9a0581e5f52f7fe80711d6ad30b4,АР-ДИ,Не положил,male,1.0
