"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол
a173995c2a1c542db6d63e5be6332b5304179613d70d0b3735571e98f0b06f01,Идол,Не положил,female,0.99
7b4b2ef8a369cc9352111342b38380f4292b9cd3685d75fb1a48b353230d328c,Арт,Положил,,0.0
08e6938952e4797f31cca2da09dbcc58b080860dc2f5ba788738bee57e66e126,Ел Хилал - Јуниор,Не положил,,0.0
d3d66ce6c1ee8951757d391fc02bd2c0ade71cd6debb31e316798e40caab563f,Мобилити плус,Не положил,male,1.0
3cf03bc83d2846900c839d7938070f96acd1c30910cbb0c70445639d01af1bbf,Мобилити плус,Положил,male,1.0
046db623e42363d383b0619d1971034808380df4a6ca9e8d7929e62b5520d071,Тримоски,Не положил,female,0.99
c669481d0c87b38893363f4d51e3d6e39d3f471198d84088123fbfec9f8ad26d,Бонита М,Не положил,female,0.99
54691782d082e86dc594303a93680ad72dc948a53624929be3851024833eead3,Брм брм Л,Не положил,male,0.82
06488ccbbfefef857fe3d771d301e8855e29e9f61f8989400bd03ce1b8665884,АР-ДИ,Положил,male,1.0
2721021f74687a340068f4036aceed2dc702ca0682876c279f3d7d58c4843617,Шкорпион Едукација,Не положил,female,1.0
1c80297e9a4510466229a8928a8c1f084929bbd2ad88f0805400aef36afcaf9c,Алфа 2018,Положил,,0.0
0211ee1a990788747360edd06c5ec3551fb558a08bb3be21b2e1e245e983e2f1,Болана ком,Не положил,female,1.0
a984397ff76983fa9f5ff342ab4dd300d54776d9f671efea072973ca13d87c81,Бобием,Положил,female,1.0
d87c836f54290a68dd95bf00635b28dbd816c4532a68fb7ff33874292726d9d3,Зебра АБЦ Дооел,Не положил,male,0.7
9e4e9b9810cf628559d3df7d7e0b3dc9c8d888e15f4c2908749eca43d5dd7cd7,Кекец-О,Не положил,,0.0
d45dd5ce66b8a6ea18613084715cdf1b223eded0f8e8f1b6814124aed0bd3e11,АСХ Хирда,Не положил,,0.0
12b720477d70904a0520e4ea6d449c836f81a40af152f459335506178ae3c5c0,Ива Обука,Не положил,,0.0
f5459f91a0d4c51acf573dec3bc7876af0a1308b81ae5bc1ed5ce410c8d44a80,Зебра АБЦ Дооел,Не положил,,0.0
1a42de16ee1acdbdf8c54f83d14eb37994f00be3751534bf7a75b6b018171671,АР-ДИ,Не положил,female,0.79
5692b3b4e1868a1e9060debf4bf4064cb0a4cc3ca2ed4ef09240c0917d8549f9,Арт,Не положил,,0.0
c34a640f81295dab05ca44007d64c5da203e71df6d75db8022665cc3d7259064,АР-ДИ,Не положил,female,0.91
d7edadf8146d734b934a551aa3dfa518a4213787395203205870d4f2c912357b,АСХ Хирда,Не положил,,0.0
