Unnamed: 0,"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол,date
,f9a01d8d218d6a7f974757eb3e53ceb5b69f0f57deac4e8cb6c183bc9d278822,АСХ Хирда,Положил,male,0.97,2022-06-30
,a4be482df1205f4c27f567c312da438511e0cb70241f685359fcdd55dc185aad,АСХ Хирда,Не положил,male,1.0,2022-06-30
,34c3087464b2cb236f5e7b2882c48e15f63804bac4e1cf58d34f6b1f74aafcb3,Шкорпион,Не положил,male,1.0,2022-06-30
,fa6aca6fc3f21665c4a22a3809be03e3acffd9729f40ae4eb5cac6cf33e53cc0,АСУЦ Боро Петрушевски,Не положил,male,1.0,2022-06-30
,171edbf8426c8ad6244f3044c430442cd28e6f31cb77d5738b17326ac2c1d00d,Деива Обука 2001,Не положил,male,1.0,2022-06-30
,122bb158e3f872767056202680ab29091cc01cf3aa3b4aec41155056aaedf27c,Мобилити Плус,Положил,male,1.0,2022-06-30
,80f463bcb640aca17905123a40e51fb14328dfe45c4c82dc18ce2d0e18386347,Шкорпион С 2014,Не положил,female,0.98,2022-06-30
,fdf473517bb783f11445c0ece994683363cf4ef54e92f6b505e94fcb6daf1ce9,АСУЦ Боро Петрушевски,Не положил,female,0.98,2022-06-30
,614ffbf77d0cbf0c33e5f3060d9641d4308d1e97d286f2e25635dff54455cb9d,АР-ДИ,Положил,male,0.96,2022-06-30
,1088c4cf7b3451b205ee15693c46f59cc1ea0af5e4b3be091f5dc731e88fc123,Ас-Коко,Положил,male,0.98,2022-06-30
,377d4294140681412416b70d1555c9652fd999d0ef4c5d432812ac539951fd1c,АСХ Хирда,Не положил,,0.0,2022-06-30
,559b74bc30d40d705df4cddba474c7974ffaeefb997d94943f52b60649ca8a90,АР-ДИ,Положил,female,0.92,2022-06-30
,4f7b3097c71e93036b75f1b799102dbe9c5c36eb08d4b0a1cb313611884e1bb6,Тримоски,Не положил,female,0.98,2022-06-30
,8aa29562dea8f8c5d61bf63bec5785b7b75caab4cc9e33a5f4f1cba25ef2fd78,Идол,Положил,female,0.98,2022-06-30
,21c94aa48894dcdb16b293336cb62ba2d1e8ac1980a92152ae18aa31f0c6e8a4,СМАРТ,Не положил,,0.0,2022-06-30
,0aa0a7b28bc6ca32a1d03cbaf3dd5519e7a908bf97a4c32f10aa5ed068d68595,М22 М22 Дооел,Не положил,female,0.99,2022-06-30
,4a475414778158459b73212b6055a37451a802bf35a3c5cd4609c5e3803deaf7,Идол,Не положил,female,0.99,2022-06-30
,55ff0dc8ab512c2216116e9d90785ffb4223f679f7cf62ce91b9ade2974203dd,Деива Обука 2001,Не положил,female,0.99,2022-06-30
,50e7151566290a6422d942276b283f762935782b40179f4130596b0d0ce42182,Болана ком,Не положил,male,0.62,2022-06-30
,417133762451e0f943bf46c868804568a4e5812e6f7de77699c7b4b506e4ad44,Зебра АБЦ Дооел,Не положил,female,0.98,2022-06-30
,7a455c151eb506887387c5bc329127fc66730b5226e7aab8a3bdac86b4fa0ae7,Зелен Сигнал,Не положил,female,0.98,2022-06-30
,d988b95a33a7ecb645ffb5892eb0e094e298d16a3dc6b04f0919069c86c747f4,Шкорпион Едукација,Не положил,female,0.98,2022-06-30
,00adf0fd1a7e3a25eb3e9f83f91e9770de3757c9450fc2f0dbb1c9cc7763b77a,АСХ Хирда,Положил,female,0.98,2022-06-30
,3c4cbb892f3cf358d57856a921ce8b505e7f9b6551789966df27dda9abd4261d,Шкорпион Едукација,Положил,male,0.99,2022-06-30
,69c37f38f931f109eb57fabecaaa3c894f2cf9732cde53578b7627f54f74735c,Зебра АБЦ Дооел,Не положил,male,0.97,2022-06-30
,6ce6397b5af710d46fd6861a8e2250bb16c5833dcbe8bdb768c03b187d9d9264,Шкорпион,Не положил,male,0.96,2022-06-30
,aa3c722a72c4c14999b62dcad14e8fa57d7ac7a40f84e82ac598dad8b7824118,Зебра АБЦ Дооел,Не положил,male,0.96,2022-06-30
,5fad29ed1bd51d7aebf18ae3dfab9dac97ccf27dce04ac1758d1b2d94b919b6c,Ива Обука,Не положил,female,0.6,2022-06-30
,fa37f9f340ec4d685241b5e9713d335323a4740624f1c25f3fba8683092c0b39,Зелен Сигнал,Не положил,male,0.96,2022-06-30
,ced8fe10ba71168c9839b202b40fd22c2529bc1c98c04410bf48fa47540ce1bf,Панда-ЛТД,Не положил,,0.0,2022-06-30
,a46326fa443f8246419032afa773e1782eb2a2d0124d5aed563f349a73dec4b1,АР-ДИ,Не положил,male,0.95,2022-06-30
,303546378bd7e0eb7ddd07ab14a6dacc1509815cb31f5fe670f5055370f36fa1,Кекец-О,Положил,,0.0,2022-06-30
,74668252248010d89f939841e69ac8f9a8dd855fa4f4ef80fb6bd26c187824c9,Нова-Нова,Положил,,0.0,2022-06-30
,5aaec8dbf12248d62fd9d116d83b98f5eb1a45e20e2b9346222ff664ea977ac8,Шкорпион С 2014,Не положил,,0.0,2022-06-30
,0ce863ac2851af6ce1561bf1361686ae7c429faf8babd2cb5219cd2362ebd391,Деива Обука 2001,Не положил,,0.0,2022-06-30
,06be4385a1da2447e5ea17c55e9858632e011b3e966f97555d5b69dadc6c19df,Шкорпион С 2014,Не положил,female,0.98,2022-06-30
,bd8409f9be77cd881c5fbc80df615b2ee042943ba9a80cea12217dc143bfe2c2,Шкорпион,Не положил,male,0.99,2022-06-30
,ebf6a21d856e56104b7290ccc055cae467efe54816afd603b38e5dbd8bf0de6e,СМАРТ,Не положил,male,0.8,2022-06-30
,47aabc9a14d4fd524cacec164151bf20acf7bba4fa80c6941abe27bb20938cb3,АР-ДИ,Не положил,male,1.0,2022-06-30
