Unnamed: 0,"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол,date
,ad885f46e527b812527fcae61c6a81259e3d2e387ef101aa841e12fb04653db1,СМАРТ,Положил,male,1.0,2022-06-23
,56a9d97fdf0c8135b3257e96cd4597bce8533dd049a33b4fde34794ed4336e96,Елита дривинг,Не положил,female,0.92,2022-06-23
,be13ce541c7fec64c1069cdf7d3dadb98c11c7e22dc9564d0d2b27d833e05dc2,Мартин,Не положил,female,0.98,2022-06-23
,13b585c3f914b41057f178daada4bd362e1021f00da6ec2a53c0ba218a245ffe,Бобием,Положил,female,0.99,2022-06-23
,c5034ec1d578b67148cec4c9682938f8867a84c2ca0bb25e19d9d0409520b225,Виза,Не положил,female,0.99,2022-06-23
,58fe472ac1cc1af0bbe4644bd02cea3022a0bb6db7d27cc69402f1fdee2a8ca9,Брм брм Л,Не положил,male,0.99,2022-06-23
,e19a59d80ae43e1665a562f454b716d053a656955363da7a1992decdea537994,/,Положил,male,0.99,2022-06-23
,546cfe5d729f40bee3db8a3244991debf8c9056e1e79e5719959f8bbdd8e05af,Арт,Не положил,,0.0,2022-06-23
,06e9650a0171cd25c5389436578ca20334210f06113e7128fe48ceae98656e95,Арт,Не положил,male,0.96,2022-06-23
,ff0c98e8853f83f039cc284ac8ea81a46130737521ad9db20c14929c3c095890,Банкина,Положил,female,0.98,2022-06-23
,78fa5286eaecf0b7c69e17d89c66a512c7cb176428212184512309dfbf1b7a5a,Ас-Коко,Не положил,male,0.99,2022-06-23
,a3a6bc0acd87a7208e35b0a6032da7473910192c47c510c0e9f36f534af241fd,Мобилити Плус,Положил,female,0.99,2022-06-23
,76984021e7ff647eb1afb9b776e0528e3b88fbbc4b445f1bd8d3e5611e56f7d2,АСХ Хирда,Положил,male,0.98,2022-06-23
,2d11d01f65cf3108669c88e19251fbea1b3cbbd970d74bec071919aa2d9a2923,Мартин,Положил,female,0.98,2022-06-23
