Unnamed: 0,"Име, име на родител и презиме",Автошкола,Резултат,Пол,ВеројатностЗаПол,date
,aac34023c7c1edafd05099de8fef799454d2abb7c199e77a38dc900175a3cc62,Мартин,Положил,male,0.97,2022-01-05
,473b4ccd9045546dc9ed20fa5bbcc49aafec9c83a2edbb3d3f47ed73512036c6,Виза,Не положил,female,0.87,2022-01-05
,2d31eb13606eb2a869a528413ce173d3e81c882b2e20ca8013f5129be7089a58,Ел Хилал - Јуниор,Положил,male,0.97,2022-01-05
,fb62f7e50727f8fd766d72d95cac45e83ed8b32f5a31122d79be6a4fd478dc8b,Идол,Не положил,female,0.99,2022-01-05
,67a797b069b48526ec1c4bd50900ef5dbe279db21ec0ac0aa7d7a65771e6dd1a,Зебра АБЦ Дооел,Не положил,female,0.98,2022-01-05
,2d2cb622bcb96c6625733bf43a9df6278bf077b17b4c32752a46bf30074ebcd1,Бобием,Положил,,0.0,2022-01-05
,fdee93534aa559b6cd0b51484f57fd552feeb3e0f55fdf4c43a9d2307e5d64d8,АСХ Хирда,Не положил,male,0.85,2022-01-05
,144cf85611fe8dfbcf7ea07a8fc5a60dee6f2007e07850eed7a37186252b729b,СМАРТ,Не положил,male,1.0,2022-01-05
,5692b3a826128e54c66588d1def3cb1152877dbcbce2e78122bce699d3c2b5eb,М22 М22 Дооел,Положил,male,1.0,2022-01-05
,9bc512e650358dbac8c5811c947f7db72b2de343c9373e884d1972c998a7fe59,АВТОМАК Гоце,Не положил,,0.0,2022-01-05
,b913a003acb0b62478b2c402e814be70362a56d5c37169f23a2145972a8f7af6,Ел Хилал - Јуниор,Положил,male,0.93,2022-01-05
,e9e0860e4b21d7e16b2e0565fa14a03a518c4b18744257f21d5268fdba6f5f6a,АСХ Хирда,Не положил,male,0.93,2022-01-05
,4563d619008dcd54894e61f5e594380cc444e7362ed73aa654a0a4ba3bb39afc,Мартин,Положил,,0.0,2022-01-05
,c59600e0607cdd03dbcb266a27f9d14aa4d5e468f1bbb499f49b4996a5d4beac,Арт,Положил,female,0.88,2022-01-05
,7f3775fe15f3a5809277c727e886d13e7237312fff8a5bf759ae7ab2bfec9332,Брм брм Л,Не положил,male,1.0,2022-01-05
,2780d9aae53a60bcf8b8a2897f7b6d70af9d637642b7fc218adcb9fc57d41da9,Арт,Положил,male,0.97,2022-01-05
